city,year,suhi_day_C_mean,suhi_night_C_mean,dEVI_mean,t2m_C_mean,rh_pct_mean,wind10_ms_mean,precip_mm_mean,cloud_frac_mean,blh_m_mean,n_months,n_valid_day,n_valid_night,period
Adelaide,2019,2.2784940794912196,0.7822724992959037,-0.033506458059361637,21.67103070837796,51.304466238648835,2.3063130466144024,10.984107285965507,0.37870500813286273,650.391088416908,3,3,3,Summer
Adelaide,2020,2.3293737274727655,1.3018830480310843,-0.027662117266022097,20.460456928757807,54.276871591882035,2.462352084753127,17.584689621019695,0.3807701947374645,664.5510922315846,3,3,3,Summer
Adelaide,2021,2.8767586508117424,0.9544349735067872,-0.0331448937513602,19.41520746708112,54.79116761516757,2.4377433679423124,19.891001359373238,0.41994272185135445,756.4508177787288,3,3,3,Summer
Adelaide,2022,2.7856080955001232,1.392725202989259,-0.0284844304758189,20.10278691751962,59.15786888159403,2.602650506797483,29.11733403520546,0.3856046635699328,665.6780897742784,3,3,3,Summer
Adelaide,2023,3.372915047767014,0.7903192298875149,-0.04194805675115087,20.048155005611868,55.91779460119334,2.408270498740238,17.382079851923727,0.32433882799845676,676.0874745616752,3,3,3,Summer
Adelaide,2024,3.0297013499336614,0.7305078172098293,-0.03263222581166483,19.965956562497386,61.6953092714727,2.5209019110661814,41.101093926409,0.4057623286123874,562.0934095811789,3,3,3,Summer
Adelaide,2025,2.064950354295464,0.7967021338686031,-0.026294652352739964,21.43214356013047,52.47388617751373,2.3454769586780246,5.967197474910189,0.2932401081365181,677.2909168438756,3,3,3,Summer
Adelaide,2026,2.970485924217208,1.0521279051781054,-0.0388253418882447,19.293981490736343,51.09135804385176,2.1351057763503407,6.313671503271903,0.3160862085859835,672.0245767569417,1,1,1,Summer
Brisbane,2004,1.6479045784779913,0.8215165066079327,-0.038409556309063266,24.963211797487148,75.22669785751765,1.3149577544027362,137.8062953498134,0.5374618005163295,654.4520485935976,3,3,3,Summer
Brisbane,2005,1.7093074691338448,1.1448919648243898,-0.05957830625763046,24.218025874455254,74.4157268710908,1.6639781179491695,85.7029880949111,0.46948089115983294,689.4049247553131,3,3,3,Summer
Brisbane,2006,1.8974147237724779,0.9180465338157795,-0.04739372453994243,25.36401951899825,74.83122684233057,1.8772760374122843,81.99812588139706,0.4565948486921874,649.2097052161982,3,3,3,Summer
Brisbane,2007,1.119487237911386,0.7959409365005996,-0.029309756154856603,23.364896464161898,72.90735045149091,2.3482389260326713,65.90694361411406,0.5608053663744648,715.0720198783375,3,3,3,Summer
Brisbane,2008,2.2808952840875185,0.6137752302653136,-0.0519549649343015,23.53087700011309,77.5993348579381,2.332840541560724,140.171645618341,0.6729957805563997,688.690976027001,3,3,3,Summer
Brisbane,2009,2.2342571810371203,1.062401752978418,-0.048099729121849295,24.303704028097783,74.07537232236534,1.8758820200781505,112.2210293591113,0.5692044361122075,690.22941719129,3,3,3,Summer
Brisbane,2010,2.0522571367479805,0.9320569737026195,-0.0525301818736956,24.8087160663804,74.12781160364385,2.0545944764245694,106.37817876621767,0.5522803204079317,663.6234784115078,3,3,3,Summer
Brisbane,2011,2.5107762966892175,0.6951231236039904,-0.0621069912666208,23.984337788113947,78.51304503761992,1.958062431552891,279.7732516315744,0.5938246091912647,629.5283455903812,3,3,3,Summer
Brisbane,2012,2.378645244231501,0.7326957596653045,-0.05554349393310717,23.25370949263997,74.8223901215339,2.1510979476534224,213.86066431219206,0.6233483030992998,688.1479213081147,3,3,3,Summer
Brisbane,2013,2.0539453477786425,0.7099346961031056,-0.0541507829733748,24.260594887487468,72.03481419576951,2.1196545585597586,194.221771630181,0.5675599783611368,744.4303387080063,3,3,3,Summer
Brisbane,2014,1.9447183541467084,1.184885245504771,-0.05606294255961234,24.050333460393862,69.73410043128243,2.08406440406407,38.24156833042925,0.4924630430668729,752.563184642263,3,3,3,Summer
Brisbane,2015,2.0744360956763734,1.2044052580754574,-0.04646345245674783,24.332246467039,76.25572559388371,2.0668656659622817,182.45647907333748,0.5531985670868677,674.8759053519499,3,3,3,Summer
Brisbane,2016,2.0147587699117486,0.8088158126235842,-0.049462805878270566,24.07973240480514,72.26721899197746,1.8277030687367082,105.16111674318495,0.48368643879184664,722.128741992527,3,3,3,Summer
Brisbane,2017,2.0417769534604395,1.2762646519579175,-0.060594959862539065,25.34652637058315,70.87040156766815,1.9764700558231338,57.09469535615347,0.48054599074949483,725.5314274040361,3,3,3,Summer
Brisbane,2018,2.5006242901911357,0.9857455350683763,-0.06883924637257101,24.47675009893193,73.33831761553888,1.6166373742252516,111.85130882848428,0.4613374796994545,665.4122192853152,3,3,3,Summer
Brisbane,2019,1.9019504338607713,0.8814075453013229,-0.04918702065119764,24.887063353425336,69.50482734330802,2.613086491543752,58.21875489423045,0.48962705330386685,814.0273651102971,3,3,3,Summer
Brisbane,2020,1.4723367341005418,1.017189010199188,-0.04455215541036996,25.202082302601507,73.5807088596042,1.7545651122815398,196.09658120931024,0.5314591470887008,634.3445108200573,3,3,3,Summer
Brisbane,2021,2.161289754308946,0.588547353709186,-0.057698485734666606,24.245420532972247,75.42789440885622,1.9203818253029883,132.34382708676068,0.588579569112402,682.0078783647401,3,3,3,Summer
Brisbane,2022,2.7356353738336865,0.7742406553494376,-0.06513156296847333,23.72489210296739,77.43059194282483,2.2231151310256076,228.32576236065756,0.5532601310361901,679.0970465064374,3,3,3,Summer
Brisbane,2023,2.3256558898841937,0.733961257678537,-0.06494562246755943,23.647720593019688,72.66043798496695,1.8904233329088902,73.44315134846748,0.5348895489777425,698.1332150704766,3,3,3,Summer
Brisbane,2024,2.475068515581127,1.1069555111676763,-0.0762498209286908,25.429772929143308,78.29778205822129,1.801702711357918,155.60835533666946,0.5873084053174522,616.3519255676929,3,3,3,Summer
Brisbane,2025,2.362351062844533,0.8095966648322298,-0.08404600548115193,24.676618958523324,76.9922046447728,1.935094012383584,95.15934724935902,0.5309418155285281,660.3560264292723,3,3,3,Summer
Brisbane,2026,2.233526369617202,1.0908512445337664,-0.0730318295673841,23.966544118558065,72.03192790317478,1.1662979196480607,76.06414206638986,0.4778108085112603,699.6936666501017,1,1,1,Summer
Melbourne,2004,-0.4931326727632026,1.3980684049152068,-0.0140657279845423,18.141701955173165,63.67896156036847,1.7252038260717437,40.199834168495364,0.4920310254930331,711.9845307991908,3,3,3,Summer
Melbourne,2005,1.1720082384846056,1.308641177474635,-0.03756677212748486,17.91843861604613,66.36642784618991,1.7311453617315224,75.63648072879832,0.5649255995369842,716.8140658837968,3,3,3,Summer
Melbourne,2006,-0.006675022459750342,1.077069076478378,-0.014172739848814434,19.157393673171544,61.16429168379623,1.8808430563374745,48.198181163351904,0.47767411647456043,762.8370445701457,3,3,3,Summer
Melbourne,2007,-1.057950846627899,1.3116217606496583,-0.008854272513960867,19.774604917020024,57.6058977319635,1.6376063917841979,45.468759726778956,0.4954357969077758,774.9342998542138,3,3,3,Summer
